Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Site Add to Scope Date Text,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Health Center Organization Contact Name,Health Center Organization Contact Telephone Number,Health Center Organization Contact Email Address,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-003873,PENOBSCOT COMMUNITY HLTH CENTER,1012 Union St,Bangor,ME,04401-3060,207-945-5247,,72,7,All Other Clinic Types,1,Active,201832,1427169010,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/12/2004,2004/01/12,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.80883731,44.81480346,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-007061,ROSS MANOR,758 Broadway,Bangor,ME,04401-3224,207-941-8400,,38,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.78261821,44.82683681,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04191,019970,BPS-H80-032645,Nasson Health Care - Biddeford,357 Elm St,Biddeford,ME,04005-3022,207-490-6900,,8,7,All Other Clinic Types,1,Active,201952,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,06/22/2021,2021/06/22,York County Community Action Corporation,6 Spruce St,Sanford,ME,04073-2917,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,-70.46881783,43.48534363,N,N,N,23031,York County,York,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00458,011230,BPS-H80-001882,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,ME,04068-3527,207-625-8126,www.svhc.org,51,7,All Other Clinic Types,1,Active,201817,1952470411,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,09/20/1976,1976/09/20,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,ME,04068-3527,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.88573042,43.81056491,Y,N,N,23017,Oxford County,Oxford,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017568,CCS Behavioral at Poland,1230 Maine St RM A,Poland,ME,04274-7325,207-998-4483,http://www.stmarysmaine.com/Our-Providers/poland-family-practice.html,20,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/03/2016,2016/02/03,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.39538146,44.06293568,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00150,010380,BPS-H80-006408,SCHOOL HEALTH CLINIC AT LUBEC,44 South St,Lubec,ME,04652-4002,207-733-2432,www.rmcl.org,35,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,2,Seasonal,01/06/2004,2004/01/06,REGIONAL MEDICAL CENTER AT LUBEC ME INC,43 S Lubec Rd,Lubec,ME,04652-3620,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-66.98824209,44.85514317,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-012280,Portland Community Health Center,180 Park Ave,Portland,ME,04102-2957,207-874-2141,www.portlandcommunityhealthcenter.org,55,7,All Other Clinic Types,1,Active,201901,1609120856,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/2013,2013/01/01,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.27427235,43.65598175,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-033503,Lawrence High School Health Center,9 School St,Fairfield,ME,04937-1326,207-861-9666,,10,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/04/2021,2021/10/04,Healthreach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.60521727,44.58920013,Y,N,N,23025,Somerset County,Somerset,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021375,KVHC Brownville Elementary School,744 Main Rd,Brownville,ME,04414-3213,207-538-3700,www.kvhc.org,5,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/30/2017,2017/10/30,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.04001726,45.32208959,Y,N,N,23021,Piscataquis County,Piscataquis,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-000416,ISLANDS COMMUNITY MEDICAL SERVICES,15 Medical Center Loop,Vinalhaven,ME,04863-4119,207-863-4341,www.vinalhaven.org/islands 201835,36,7,All Other Clinic Types,1,Active,201835,1265460794,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,02/15/2006,2006/02/15,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,ME,04863-4119,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.83067971,44.04648251,Y,N,N,23013,Knox County,Knox,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006411,WESTGATE MANOR NURSING HOMES,750 Union St,Bangor,ME,04401-3125,207-942-7336,,25,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.79768787,44.81094644,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021121,Greater Portland Health at Presumpscot Elementary School,69 Presumpscot St,Portland,ME,04103-5201,207-874-8220,,1,2,School,1,Active,,1417498700,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/14/2017,2017/09/14,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.2603578,43.68446584,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-000431,BUCKSPORT REGIONAL HEALTH CENTER,110 Broadway,Bucksport,ME,04416-4612,207-469-7371,www.brhc.info,44,7,All Other Clinic Types,1,Active,201803,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/06/1989,1989/01/06,Bucksport Regional Health Center,110 Broadway,Bucksport,ME,04416-4612,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.78036155,44.57621091,Y,N,N,23009,Hancock County,Hancock,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00802,013250,BPS-H80-002993,HARRINGTON FAMILY HEALTH CENTER,50 E Main St,Harrington,ME,04643-3043,207-483-4502,http://www.harringtonfamilyhealth.org,48,7,All Other Clinic Types,1,Active,201822,1255383972,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,07/01/1985,1985/07/01,Harrington Family Health Center,50 E Main St,Harrington,ME,04643-3043,Phil Elkin,207-483-4502 x248,phil.elkin@hfhcme.org,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.79620886,44.6219999,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-002780,BETHEL FAMILY HEALTH CENTER,32 Railroad St,Bethel,ME,04217-3819,207-824-2193,www.healthreachchc.org,53.5,7,All Other Clinic Types,1,Active,201814,1568435345,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,07/01/1999,1999/07/01,Healthreach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.79123528,44.4102242,Y,N,N,23017,Oxford County,Oxford,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-001061,Community Care and Geriatrics,992 Union St,Bangor,ME,04401-3057,207-945-5247,,47,7,All Other Clinic Types,1,Active,201900,1427338854,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/08/2005,2005/01/08,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.80715883,44.81553855,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00458,011230,BPS-H80-008969,Sacopee Valley Health Center,49 Summer St,Porter,ME,04068-3536,207-625-8126,www.svhc.org,8,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,07/17/2009,2009/07/17,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,ME,04068-3527,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.88724755,43.81099302,Y,N,N,23017,Oxford County,Oxford,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-028257,Blueberry Harvest School,39 Washington St,Milbridge,ME,04658-3527,207-546-2210,mainemobile.org,40,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/20/2019,2019/08/20,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-67.88641758,44.53676257,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-030127,School-Based Health Center-Frenchville,443 US Route 1,Frenchville,ME,04745-6115,207-834-3971,,4,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/18/2019,2019/12/18,Fish River Rural Health,10 Carter St,Eagle Lake,ME,04739-3060,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.42880289,47.27983936,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-006787,FOREST HILL MANOR,25 Bolduc Ave,Fort Kent,ME,04743-1601,207-834-3915,N/A,6,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,07/01/1990,1990/07/01,Fish River Rural Health,10 Carter St,Eagle Lake,ME,04739-3060,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.58883833,47.26431148,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-011120,ALPHA Program - Brewer High School,261 Center St,Brewer,ME,04412-1900,207-992-2456,,10,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/26/2012,2012/01/26,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.75910228,44.79198775,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00642,013280,BPS-H80-032646,DFD RUSSELL MEDICAL CENTER - BRIDGTON,25 Hospital Dr,Bridgton,ME,04009-1167,207-647-2311,,37.5,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,06/22/2021,2021/06/22,DFD RUSSELL MEDICAL CENTER INC,180 Church Hill Rd,Leeds,ME,04263-3418,Gary Rivard,207-524-3501,gary.rivard@dfdrussell.org,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.7152861,44.04618679,Y,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-028291,CCS Behavioral at CMCC,1250 Turner St,Auburn,ME,04210-6436,207-755-5100,,30,2,School,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/20/2019,2019/08/20,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.2308991,44.13224752,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-014488,Franklin Towers Health Center,211 Cumberland Ave,Portland,ME,04101-4935,207-874-2141,,12,7,All Other Clinic Types,1,Active,201913,1053719583,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/15/2014,2014/12/15,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.25612142,43.66155349,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-030113,School-Based Health Center-Van Buren,169 Main St,Van Buren,ME,04785-1248,207-834-3971,frrh.org,5,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/11/2019,2019/12/11,Fish River Rural Health,10 Carter St,Eagle Lake,ME,04739-3060,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.94111235,47.16071208,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-018173,Downeast School - PCHC Dental,100 Moosehead Blvd,Bangor,ME,04401-2367,207-941-6240,pchc.com,16,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,06/16/2016,2016/06/16,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.82042797,44.83943431,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00642,013280,BPS-H80-002687,DFD RUSSELL MEDICAL CENTER - TURNER,7 Main St,Turner,ME,04282-4138,207-524-3501,www.dfdrussell.org,47.5,7,All Other Clinic Types,1,Active,201887,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/04/2002,2002/01/04,DFD RUSSELL MEDICAL CENTER INC,180 Church Hill Rd,Leeds,ME,04263-3418,Gary Rivard,207-524-3501,gary.rivard@dfdrussell.org,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.25973469,44.24458057,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-018634,Madawaska Community Health Center,309 Saint Thomas St,Madawaska,ME,04756-1278,207-728-4779,www.frrh.org,41.5,7,All Other Clinic Types,1,Active,20931,1467902668,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/20/2016,2016/09/20,Fish River Rural Health,10 Carter St,Eagle Lake,ME,04739-3060,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.32774574,47.35480209,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-019299,Greater Portland Health Oxford Street,234 Oxford St,Portland,ME,04101-3029,207-874-2141,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/03/2017,2017/03/03,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.26139875,43.65919038,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00150,010380,BPS-H80-002635,REGIONAL MEDICAL CENTER CALAIS,5 Lowell St,Calais,ME,04619-1712,207-454-1491,www.rmcl.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,12/21/2004,2004/12/21,REGIONAL MEDICAL CENTER AT LUBEC ME INC,43 S Lubec Rd,Lubec,ME,04652-3620,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.27940437,45.18775208,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-030572,Katahdin Valley Health Center Island Falls,1300 Crystal Rd,Island Falls,ME,04747-4369,207-538-3700,www.kvhc.org,40,7,All Other Clinic Types,1,Active,201948,1457421307,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/06/2020,2020/04/06,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.29277292,46.00677212,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-006491,KVHC Mill Pond Elementary School,147 Hodgdon Mills Rd,Hodgdon,ME,04730-4277,207-538-3700,www.kvhc.org,4,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,03/09/2005,2005/03/09,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.86282076,46.0568412,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-013395,Jackman Community Health Center,376 Main St,Jackman,ME,04945-5214,207-668-4300,http://www.pchcbangor.org,45,7,All Other Clinic Types,1,Active,201907,1669802849,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,11/01/2013,2013/11/01,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.25007362,45.62109208,Y,N,N,23025,Somerset County,Somerset,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-002198,MT. ABRAM REGIONAL HEALTH CENTER,25 Depot St,Kingfield,ME,04947-4208,207-265-4555,www.healthreachchc.org,50,7,All Other Clinic Types,1,Active,201810,1023082385,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/1986,1986/01/01,Healthreach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.1571609,44.95805404,Y,N,N,23007,Franklin County,Franklin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-003161,HAN Enfield,47 Bridge St,West Enfield,ME,04493-4526,207-794-6700,www.hanfqhc.org,45,7,All Other Clinic Types,1,Active,201836,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,11/21/2003,2003/11/21,"Health Access Network, Inc.",175 W Broadway,Lincoln,ME,04457-4000,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.64715358,45.23763313,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-006342,VINALHAVEN SCHOOL,22 Arcola Ln,Vinalhaven,ME,04863-4014,207-863-4800,none,2,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,2,Seasonal,09/16/2006,2006/09/16,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,ME,04863-4119,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.82202791,44.04837635,Y,N,N,23013,Knox County,Knox,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
